lp,RSPO,REGON,nip,Nazwa szkoły,Powiat,Gmina,Miejscowość,Ulica,Numer domu,tel.,email,Numer telefonu kontaktowego do organu prowadzącego,Adres e-mail do organu prowadzącego,Adres witryny internetowej organu prowadzącego (jeżeli nie posiada należy wpisać „nie posiada”),ORGAN regon,ORGAN nip,REGON szkoły,Numer szkoły w Rejestrze Szkół i Placówek Oświatowych (RSPO),Numer telefonu kontaktowego do szkoły,Adres kontaktowy e-mail do szkoły,Adres witryny internetowej szkoły (jeżeli nie posiada należy wpisać „nie posiada”),Imię dyr.,Nazwisko dyr.,Imię wice,Nazwisko wice,Dziewczęta w szkole w klasach IV - VIII,Chłopcy w szkole w klasach IV - VIII,suma,grupa
21,6551,241229,8132290016,SZKOŁA PODSTAWOWA NR 8,m. Rzeszów,M. Rzeszów,Rzeszów,ul. Antoniego Kopaczewskiego,2,177482330,sekretariat@sp8.resman.pl,178754588,edukacja@erzeszow.pl,bip.erzeszow.pl,690581353,,241229,6551,123143,21@mail.pl,www.sp8.rzeszow.pl,Maciej,Bieńko,brak,brak,138,128,266,duża
22,6592,245470,8132290039,SZKOŁA PODSTAWOWA NR 16,m. Rzeszów,M. Rzeszów,Rzeszów,ul. Bohaterów,1,,sekretariat@sp16.resman.pl,177484588,edukacja@erzeszow.pl,nie posiada,690581353,,245470,6592,123144,22@mail.pl,www.sp16.resman.pl,Dorota,Nowak-Maluchnik,brak,brak,180,199,379,duża
23,7248,1177670,0,SZKOŁA PODSTAWOWA W WÓLCE TANEWSKIEJ,niżański,Ulanów,Wólka Tanewska,ul. Główna,61,,woltan2@poczta.onet.pl,158763041,zeas_ulanow@vp.pl,https://www.ulanow.pl/  ,830409488,,1177670,7248,123145,23@mail.pl,www.pspwolkatanewska.edupage.org,Ewa,Czerkowicz,brak,brak,35,40,75,mała
24,7366,1131419,0,SZKOŁA PODSTAWOWA NR 5 IM. BOHATERÓW 27 PUŁKU PIECHOTY W RZESZOWIE,m. Rzeszów,M. Rzeszów,Rzeszów,ul. Słocińska,4,,sekretariat@sp5.resman.pl,178754588,umrz@erzeszow.pl,www.erzeszow.pl,690581353,,1131419,7366,123146,24@mail.pl,www.sp5.resman.pl,Elżbieta,Tymcio,brak,brak,243,274,517,duża
25,7440,691681619,8132643727,SZKOŁA PODSTAWOWA NR 4 IM. JANA III SOBIESKIEGO,m. Rzeszów,M. Rzeszów,Rzeszów,ul. Dębicka,288,177483612,sekretariat@zsp10.resman.pl,178754588,edukacja@erzeszow.pl,https://bip.erzeszow.pl/,690581353,,691681619,7440,123147,25@mail.pl,zsp10.rzeszow.pl,Anna,Kurecka,brak,brak,83,93,176,średnia
26,7576,1131827,8151273823,SZKOŁA PODSTAWOWA NR 1 IM. HENRYKA SIENKIEWICZA W BUDACH ŁAŃCUCKICH,łańcucki,Białobrzegi,Budy Łańcuckie,,333,,sp1budylanc@interia.pl,172245920,urzad@gmina-bialobrzegi.pl,www.gmina-bialobrzegi.pl,690581761,,1131827,7576,123148,26@mail.pl,Budy Łańcuckie 333,Beata,Pyzik,brak,brak,32,33,65,mała
27,7577,1131810,8151273473,SZKOŁA PODSTAWOWA NR 1 IM. TADEUSZA KOŚCIUSZKI W BIAŁOBRZEGACH,łańcucki,Białobrzegi,Białobrzegi,,400,172245279,bialobrzegisp1@gmail.com,172245227,urzad@gmina-bialobrzegi.pl,https://www.gmina-bialobrzegi.pl,690581761,,1131810,7577,123149,27@mail.pl,https://spbialobrzegi1.edupage.org,Lucyna,Świstak,brak,brak,13,22,35,mała
28,7578,1131840,8151273852,SZKOŁA PODSTAWOWA NR 2 IM. TADEUSZA KOŚCIUSZKI W KORNIAKTOWIE PÓŁNOCNYM,łańcucki,Białobrzegi,Korniaktów Północny,,51,,szkolakor2@poczta.onet.pl,172245920,urzad@gmina-bialobrzegi.pl,https://www.gmina-bialobrzegi.pl/,690581761,,1131840,7578,123150,28@mail.pl,http://sp2korniaktow.edu.pl/,Katarzyna,Wójtowicz,brak,brak,14,22,36,mała
29,7680,1214134,6851557757,SZKOŁA PODSTAWOWA W LISOWIE,jasielski,Skołyszyn,Lisów,,76,,splisow@poczta.onet.pl,134491063,gmina@skolyszyn.pl,https://www.skolyszyn.pl,370440382,,1214134,7680,123151,29@mail.pl,http://splisow.pl,Elżbieta,Filipowicz,brak,brak,16,20,36,mała
30,7934,1200830,6871442218,SZKOŁA PODSTAWOWA W ZAHUTYNIU IM. WŁADYSŁAWA BELINY-PRAŻMOWSKIEGO,sanocki,Zagórz,Zahutyń,,111,48134642585,spzahutyn@interia.pl,134622062,urzad@zagorz.pl,zagorz.pl,370440778,,1200830,7934,123152,30@mail.pl,spzahutyn,Dorota,Szopa,brak,brak,19,18,37,mała
31,8052,650107401,7951070015,SZKOŁA PODSTAWOWA NR 16 Z ODDZIAŁAMI INTEGRACYJNYMI IM. ORLĄT LWOWSKICH W PRZEMYŚLU,m. Przemyśl,M. Przemyśl,Przemyśl,ul. Grunwaldzka,81,166702915,sp16@um.przemysl.pl,166752145,edukacja.sio@um.przemysl.pl,https://przemysl.pl/5768/wydzial-edukacji-i-sportu.html,650900341,,650107401,8052,123153,31@mail.pl,www.sp16przemysl.pl,Grzegorz,Pipka,brak,brak,160,149,309,duża
32,8189,651422323,7952184548,SZKOŁA PODSTAWOWA NR 17 W PRZEMYŚLU,m. Przemyśl,M. Przemyśl,Przemyśl,ul. Franciszka Smolki,10,166785347,zso2@um.przemysl.pl,166752145,edukacja@um.przemysl.pl,przemysl.pl,650900341,,651422323,8189,123154,32@mail.pl,www.szaszk.edu.pl,Piotr,Świtalska,brak,brak,56,52,108,mała
33,8808,243412,8132851414,SZKOŁA PODSTAWOWA NR 11 IM. GEN. STANISŁAWA MACZKA,m. Rzeszów,M. Rzeszów,Rzeszów,ul. Podwisłocze,14,,sekretariat@sp11.resman.pl,178754588,edukacja@erzeszow.pl,www.erzeszow.pl,690581353,,243412,8808,123155,33@mail.pl,sp11.resman.pl,Agnieszka,Rybka,brak,brak,139,163,302,duża
34,8809,773251,8132767139,SZKOŁA PODSTAWOWA NR 24 IM. RUDOLFA AURIGI,m. Rzeszów,M. Rzeszów,Rzeszów,ul. Piotra Czajkowskiego,11,,sekretariat@sp24.rzeszow.pl,177889900,edukacja@erzeszow.pl,https://bip.erzeszow.pl/pl/483-wydzial-edukacji.html,690581353,,773251,8809,123156,34@mail.pl,http://sp24.rzeszow.pl/,Bogusława,Leśniak,brak,brak,202,161,363,duża
35,9167,245730,8132458154,SZKOŁA PODSTAWOWA NR 17 Z ODDZIAŁAMI INTEGRACYJNYMI IM. 21 BRYGADY STRZELCÓW PODHALAŃSKICH,m. Rzeszów,M. Rzeszów,Rzeszów,ul. Bulwarowa,3,177482480,sekretariat@sp17.resman.pl,178754588,ed@erzeszow.pl,nie posiada,690581353,,245730,9167,123157,35@mail.pl,www.sp17.resman.pl,Mirosława,Marciak,brak,brak,143,154,297,duża
36,9227,1207329,0,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W ŁOWCACH SZKOŁA PODSTAWOWA IM.WINCENTEGO WITOSA W ŁOWCACH,jarosławski,Chłopice,Łowce,,159,,splowce@gmail.com,166240000,gmina@chlopice.pl,http://chlopice.pl/,650900507,,1207329,9227,123158,36@mail.pl,http://splowce.pl/index.php/pl/,Jolanta,Fudali,brak,brak,29,29,58,mała
37,9591,737634,7921853327,SZKOŁA PODSTAWOWA IM.PREZYDENTA RZECZYPOSPOLITEJ POLSKIEJ LECHA KACZYŃSKIEGO W CHŁOPICACH,jarosławski,Chłopice,Chłopice,,192A,,sp_chl@interia.pl,166240000,gmina@chlopice.pl,http://chlopice.pl/?c=mdTresc-cmPodpieta-586,650900507,,737634,9591,123159,37@mail.pl,http://spchlopice.szkolnastrona.pl/,Janusz,Biernacka,brak,brak,48,43,91,mała
38,9626,1214140,6852043730,SZKOŁA PODSTAWOWA W JABŁONICY,jasielski,Skołyszyn,Jabłonica,,127,134493059,spjablonica@poczta.onet.pl,134491063,gmina@skolyszyn.pl,www,370440382,,1214140,9626,123160,38@mail.pl,www,Łucja,Weiss,brak,brak,15,17,32,mała
39,9664,1187466,8671973142,SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W ZABRNIU,tarnobrzeski,Grębów,Zabrnie,,582,158112818,szk_zabrnie1@wp.pl,158112713,ug@grebow.com.pl,https://www.grebow.com.pl,830409175,8672073110,1187466,9664,123161,39@mail.pl,https://spzabrnie1.edupage.org/,Iwona,Janeczko,brak,brak,17,19,36,mała
40,9732,1187420,8671973107,SZKOŁA PODSTAWOWA IM. KARDYNAŁA STEFANA WYSZYŃSKIEGO W KRAWCACH,tarnobrzeski,Grębów,Krawce,,167,158112809,psp.krawce@wp.pl,158112715,ug@grebow.com.pl,www.grebow.com.pl,830409175,8672073110,1187420,9732,123162,40@mail.pl,www.pspkrawce.pl,Urszula,Nizińska,brak,brak,14,19,33,mała
41,9768,1187489,8671973082,SZKOŁA PODSTAWOWA IM. MARII KONOPNICKIEJ W ŻUPAWIE,tarnobrzeski,Grębów,Żupawa,,41,158111132,spzupawa@wp.pl,158112715,ug@grebow.com.pl,www.grebow.com.pl,830409175,8672073110,1187489,9768,123163,41@mail.pl,http://spzupawa.szkola.pl/,Zofia,Benewiat,brak,brak,14,26,40,mała
42,10248,1200178,6881296793,SZKOŁA PODSTAWOWA IM.WINCENTEGO POLA W LESKU,leski,Lesko,Lesko,ul. Smolki,2,,dyrektor@splesko.pl,134698001,gmina@lesko.pl,https://www.lesko.pl/,370440034,,1200178,10248,123164,42@mail.pl,www.splesko.pl,Ireneusz,Majka,brak,brak,143,143,286,duża
43,10363,1214170,6851940396,SZKOŁA PODSTAWOWA W PRZYSIEKACH,jasielski,Skołyszyn,Przysieki,,88,,spprzysieki@interia.pl,134491063,gmina@skolyszyn.pl,www.skolyszyn.pl,370440382,,1214170,10363,123165,43@mail.pl,http://spprzysieki.pl,Krystyna,Zięba,brak,brak,22,25,47,mała
44,10439,1058390,8132643555,SZKOŁA PODSTAWOWA NR 25 IM. PRYMASA TYSIĄCLECIA,m. Rzeszów,M. Rzeszów,Rzeszów,ul. Stefana Starzyńskiego,17,,sekretariat@sp25.resman.pl,178754588,ed@erzeszow.pl,nie posiada,690581353,,1058390,10439,123166,44@mail.pl,http://www.sp-25.rzeszow.pl/,Bożena,Drozd-Ulijasz,brak,brak,288,219,507,duża
45,10598,228022,8132184248,SZKOŁA PODSTAWOWA NR 1 IM. ADAMA MICKIEWICZA W RZESZOWIE,m. Rzeszów,M. Rzeszów,Rzeszów,ul. Bernardyńska,4,,sekretariat@sp1.resman.pl,178754588,edukacja@erzeszow.pl,nie posiada,690581353,,228022,10598,123167,45@mail.pl,www.sp1.rzeszow.pl,Małgorzata,Flis,brak,brak,90,110,200,średnia
46,10709,233425,8132727708,SZKOŁA PODSTAWOWA NR 3 IM. HENRYKA SIENKIEWICZA,m. Rzeszów,M. Rzeszów,Rzeszów,ul. Klementyny Hoffmanowej,11,,sekretariat@sp3.resman.pl,178754588,edukacja@erzeszow.pl,nie posiada,690581353,,233425,10709,123168,46@mail.pl,www.sp3.rzeszow.pl,Adam,Duma,brak,brak,136,138,274,duża
47,11457,1187443,8671973171,ZESPÓŁ SZKÓŁ W STALACH SZKOŁA PODSTAWOWA IM. PROF. STANISŁAWA PAWŁOWSKIEGO W STALACH,tarnobrzeski,Grębów,Stale,ul. Tarnobrzeska,5,158111346,zsstale@op.pl,158112715,ug@grebow.com.pl,www.grebow.com.pl,830409175,8672073110,1187443,11457,123169,47@mail.pl,www.zsstale.pl,Zdzisław,Grębowiec,brak,brak,49,42,91,mała
48,11600,1187450,8671973159,ZESPÓŁ SZKOŁA PODSTAWOWA I PRZEDSZKOLE W WYDRZY SZKOŁA PODSTAWOWA W WYDRZY,tarnobrzeski,Grębów,Wydrza,,383,,zspipwydrza@wp.pl,158112715,ug@grebow.com.pl,https://www.grebow.com.pl/,830409175,8672073110,1187450,11600,123170,48@mail.pl,https://zspipwydrza.edupage.org,Radosław,Kozieja,brak,brak,15,13,28,mała
49,11662,830473010,0,ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH IM. PROF. STANISŁAWA BĄKA W GRĘBOWIE SZKOŁA PODSTAWOWA W GRĘBOWIE,tarnobrzeski,Grębów,Grębów,ul. Rynek,9,,zsogrebow@gmail.com,158112715,ug@grebow.com.pl,https://www.grebow.com.pl,830409175,8672073110,830473010,11662,123171,49@mail.pl,https://www.zsogrebow.pl,Krystyna,Bieńko,brak,brak,96,89,185,średnia
50,11846,1131767,8132289295,SZKOŁA PODSTAWOWA NR 15,m. Rzeszów,M. Rzeszów,Rzeszów,ul. Budziwojska,154,,sekretariat@zszp7.resman.pl,178754588,edukacja@erzeszow.pl,bip.erzeszow.pl,690581353,,1131767,11846,123172,50@mail.pl,www.sp15.rzeszow.pl,Witold,Nowak-Maluchnik,brak,brak,173,160,333,duża
51,11890,1266504,5170327234,SZKOŁA PODSTAWOWA NR 27 IM. IGNACEGO JANA PADEREWSKIEGO,m. Rzeszów,M. Rzeszów,Rzeszów,al. prof. Adama Krzyżanowskiego,24,,sekretariat@zszp6.resman.pl,178754588,edukacja@erzeszow.pl,nie posiada,690581353,,1266504,11890,123173,51@mail.pl,www.zsp6.rzeszow.pl,Dorota,Czerkowicz,brak,brak,225,237,462,duża
52,11912,1213672,6852227921,SZKOŁA PODSTAWOWA W BĄCZALU DOLNYM,jasielski,Skołyszyn,Bączal Dolny,,101,134493032,rejtanszkola@interia.pl,134491063,gmina@skolyszyn.pl,skolyszyn.pl,370440382,,1213672,11912,123174,52@mail.pl,zspbaczal.com.pl,Katarzyna ,Tymcio,brak,brak,35,30,65,mała
53,11928,1207341,7921857845,SZKOŁA PODSTAWOWA IM.JANA PAWŁA II W DOBKOWICACH,jarosławski,Chłopice,Dobkowice,,182,,spdobkowice@o2.pl,166240000,gmina@chlopice.pl,http://chlopice.pl,650900507,,1207341,11928,123175,53@mail.pl,http://spdobkowice.szkolnastrona.pl,Dorota,Kurecka,brak,brak,16,14,30,mała
54,11940,1207335,7921853681,SZKOŁA PODSTAWOWA IM.PROF.STEFANA MYCZKOWSKIEGO W JANKOWICACH,jarosławski,Chłopice,Jankowice,,37,,spjankowice@interia.pl,166240000,gmina@chlopice.pl,www: http://chlopice.pl/,650900507,,1207335,11940,123176,54@mail.pl,http://sp.jankowice.szkolnastrona.pl,Joanna,Pyzik,brak,brak,16,13,29,mała
55,11978,1214186,6852227909,SZKOŁA PODSTAWOWA W ŚWIĘCANACH,jasielski,Skołyszyn,Święcany,,529,,spswiecany@gmail.com,134491062,gmina@skolyszyn.pl,www.skolyszyn.pl,370440382,,1214186,11978,123177,55@mail.pl,zsswiecany.szkolnastrona.pl,Katarzyna,Świstak,brak,brak,46,52,98,mała
56,12469,1192332,8722014004,SZKOŁA PODSTAWOWA IM.GRZEGORZA PIRAMOWICZA W KAMIENICY GÓRNEJ,dębicki,Brzostek,Kamienica Górna,,172,,szpkamienicag@poczta.fm,146803026,oswiata@brzostek.pl,htts://brzostek.pl,851661085,,1192332,12469,123178,56@mail.pl,http://www.spkg.pl,Jerzy,Wójtowicz,brak,brak,22,28,50,mała
57,12471,1192326,8722013996,SZKOŁA PODSTAWOWA IM. JÓZEFA BERKA W KAMIENICY DOLNEJ,dębicki,Brzostek,Kamienica Dolna,,118,,sp.kam.dln@interia.pl,146803026,oswiata@brzostek.pl,https://brzostek.pl/,851661085,,1192326,12471,123179,57@mail.pl,spkamienicadln.szkolnastrona.pl,Małgorzata,Filipowicz,brak,brak,11,18,29,mała
58,12472,1192295,8722013944,SZKOŁA PODSTAWOWA W GORZEJOWEJ,dębicki,Brzostek,Gorzejowa,,174A,,spgorzejowa@autograf.pl,146803026,oswiata@brzostek.pl,www.brzostek,851661085,,1192295,12472,123180,58@mail.pl,https://spgorzejowa.szkolnastrona.pl/,Marzena,Szopa,brak,brak,10,13,23,mała
59,12490,583148,8722014091,SZKOŁA PODSTAWOWA IM. KOMISJI EDUKACJI NARODOWEJ W BRZOSTKU,dębicki,Brzostek,Brzostek,ul. Szkolna,13,146830313,spbrzostek@interia.eu,146803026,oswiata@brzostek.pl,www.brzostek.pl,851661085,,583148,12490,123181,59@mail.pl,www.spbrzostek.pl,Małgorzata,Pipka,brak,brak,117,139,256,duża
60,12514,1192355,8722014027,SZKOŁA PODSTAWOWA IM. KS. DR. JÓZEFA JAŁOWEGO W PRZECZYCY,dębicki,Brzostek,Przeczyca,,84,,psp.przeczyca@gmail.com,146803026,oswiata@brzostek.pl,www.brzostek.pl,851661085,,1192355,12514,123182,60@mail.pl,http://spprzeczyca.szkolnastrona.pl,Dariusz,Świtalska,brak,brak,16,20,36,mała
61,12640,559760,6851605700,SZKOŁA PODSTAWOWA W ZESPOLE SZKÓŁ PUBLICZNYCH W SKOŁYSZYNIE,jasielski,Skołyszyn,Skołyszyn,,222,,zspskolyszyn@gmail.com,134491062,gmina@skolyszyn.pl,www.skolyszyn.pl,370440382,,559760,12640,123183,61@mail.pl,zspskolyszyn.com.pl,Hubert,Rybka,brak,brak,89,101,190,średnia
62,12749,1133542,8171812418,SZKOŁA PODSTAWOWA W CHRZĄSTOWIE,mielecki,Mielec,Chrząstów,,156,,schrzastow@wp.pl,177730590,sekretariat@ug.mielec.pl,https://www.gmina.mielec.pl/,690581910,,1133542,12749,123184,62@mail.pl,https://spchrzastow.edupage.org/,MONIKA ,Leśniak,brak,brak,14,15,29,mała
63,13095,651419864,0,ZESPÓŁ SZKÓŁ W PAWŁOSIOWIE SZKOŁA PODSTAWOWA IM. A. MICKIEWICZA Z ODDZIAŁEM PRZEDSZKOLNYM W PAWŁOSIOWIE,jarosławski,Pawłosiów,Pawłosiów,,87,,pawlosiowszkola@wp.pl,166220380,ug_pawlosiow@pro.onet.pl,gminapawlosiow.pl,650900447,,651419864,13095,123185,63@mail.pl,zspawlosiow.edu.pl,BOGUMIŁA,Marciak,brak,brak,38,37,75,mała
64,13402,1204609,8721995112,SZKOŁA PODSTAWOWA IM ADAMA MICKIEWICZA W MOKREM,dębicki,Żyraków,Mokre,,136,,pspmokre@op.pl,146822636,gmina@zyrakow.pl,www.zyrakow.pl,851661091,8722222062,1204609,13402,123186,64@mail.pl,pspmokre.szkolnastrona.pl,Bożena,Fudali,brak,brak,12,11,23,mała
65,13593,651420264,0,SZKOŁA PODSTAWOWA IM. I. ŁUKASIEWICZA Z ODDZIAŁEM PRZEDSZKOLNYM W CIESZACINIE WIELKIM,jarosławski,Pawłosiów,Cieszacin Wielki,,201,166219093,zscieszacin@interia.pl,166219751,cuwpawlosiow@interia.pl,http://www.gminapawlosiow.pl/,650900447,,651420264,13593,123187,65@mail.pl,http://spcieszacin.pl/,Iwona,Biernacka,brak,brak,34,34,68,mała
